date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:53	15246/15246	---M-Z	200	added ('OK')	text/html	etag:W/%226943fa76-3b8e%22	https://www.durgamahadevsthan.com/Home/index.html	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/index.html	(from )
20:52:53	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.durgamahadevsthan.com/robots.txt		(from )
20:52:54	211262/211262	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226943fa76-3393e%22	https://www.durgamahadevsthan.com/Home/images/favicon.ico	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/favicon.ico	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:54	7184/7184	---M-Z	200	added ('OK')	text/css	etag:W/%226943fa75-1c10%22	https://www.durgamahadevsthan.com/Home/style.css	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/style.css	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:55	49331/49331	---M--	200	added ('OK')	image/jpeg	etag:%226943fa76-c0b3%22	https://www.durgamahadevsthan.com/Home/images/logo.jpg	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/logo.jpg	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:56	508993/508993	---M--	200	added ('OK')	image/jpeg	etag:%226943fa76-7c441%22	https://www.durgamahadevsthan.com/Home/images/hulas6.jpeg	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/hulas6.jpg	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:56	417566/417566	---M--	200	added ('OK')	image/jpeg	etag:%226943fa76-65f1e%22	https://www.durgamahadevsthan.com/Home/images/hulas0.jpeg	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/hulas0.jpg	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:57	492172/492172	---M--	200	added ('OK')	image/jpeg	etag:%226943fa76-7828c%22	https://www.durgamahadevsthan.com/Home/images/hulas1.jpg	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/hulas1.jpg	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:57	366654/366654	---M--	200	added ('OK')	application/pdf	etag:%226943fa75-5983e%22	https://www.durgamahadevsthan.com/Home/images/invitation.pdf	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/invitation.pdf	(from https://www.durgamahadevsthan.com/Home/index.html)
20:52:58	564178/564178	---M--	200	added ('OK')	image/jpeg	etag:%226943fa76-89bd2%22	https://www.durgamahadevsthan.com/Home/images/hulas7.jpg	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/hulas7.jpg	(from https://www.durgamahadevsthan.com/Home/index.html)
20:53:00	124912/124912	---M--	200	added ('OK')	application/pdf	etag:%226943fa76-1e7f0%22	https://www.durgamahadevsthan.com/Home/images/bhagwatkatha2025.pdf	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/images/bhagwatkatha2025.pdf	(from https://www.durgamahadevsthan.com/Home/index.html)
20:53:01	340/340	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2003%20Feb%202026%2022:00:17%20GMT	https://unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.esm.js	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.esm.js	(from https://www.durgamahadevsthan.com/Home/index.html)
20:53:01	119689/119689	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Jan%202026%2001:58:34%20GMT	https://unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.js	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.js	(from https://www.durgamahadevsthan.com/Home/index.html)
20:53:02	1077/1077	---M-Z	200	added ('OK')	application/javascript	etag:W/%226943fa76-435%22	https://www.durgamahadevsthan.com/Home/script.js	C:/Users/ratan/OneDrive/Desktop/mandir%20website/photos/mandir-photos/www.durgamahadevsthan.com/Home/script.js	(from https://www.durgamahadevsthan.com/Home/index.html)
